d,x,y,z
143.0917849,606383.6429,116203.5747,2402.649902
143.7635773,606384.1435,116203.1268,2403.050049
144.4353697,606384.6442,116202.6788,2403.429932
145.1071622,606385.1448,116202.2309,2403.810059
145.7789546,606385.6455,116201.7829,2404.340088
146.450747,606386.1461,116201.335,2404.699951
147.1225394,606386.6468,116200.887,2405.199951
147.7943318,606387.1474,116200.4391,2405.620117
148.4661242,606387.6481,116199.9911,2406
149.1379167,606388.1487,116199.5432,2406.25
149.8097091,606388.6494,116199.0952,2406.649902
150.4815015,606389.15,116198.6473,2407.169922
151.1532939,606389.6507,116198.1994,2407.610107
151.8250863,606390.1513,116197.7514,2408.060059
152.4968788,606390.652,116197.3035,2408.5
153.1686712,606391.1526,116196.8555,2409
153.8404636,606391.6532,116196.4076,2409.320068
154.512256,606392.1539,116195.9596,2409.73999
155.1840484,606392.6545,116195.5117,2410.030029
155.8558408,606393.1552,116195.0637,2410.48999
156.5276333,606393.6558,116194.6158,2410.939941
157.1994257,606394.1565,116194.1678,2411.370117
157.8712181,606394.6571,116193.7199,2411.850098
158.5430105,606395.1578,116193.2719,2412.300049
159.2148029,606395.6584,116192.824,2412.679932
159.8865953,606396.1591,116192.376,2413.02002
160.5583878,606396.6597,116191.9281,2413.370117
161.2301802,606397.1604,116191.4801,2413.800049
161.9019726,606397.661,116191.0322,2414
162.573765,606398.1617,116190.5842,2414.389893
163.2455574,606398.6623,116190.1363,2414.810059
163.9173498,606399.163,116189.6884,2415.120117
164.5891423,606399.6636,116189.2404,2415.47998
165.2609347,606400.1643,116188.7925,2415.850098
165.9327271,606400.6649,116188.3445,2416.26001
166.6045195,606401.1656,116187.8966,2416.679932
167.2763119,606401.6662,116187.4486,2417.120117
167.9481044,606402.1669,116187.0007,2417.360107
168.6198968,606402.6675,116186.5527,2417.76001
169.2916892,606403.1681,116186.1048,2418.149902
169.9634816,606403.6688,116185.6568,2418.540039
170.635274,606404.1694,116185.2089,2419.050049
171.3070664,606404.6701,116184.7609,2419.540039
171.9788589,606405.1707,116184.313,2419.889893
172.6506513,606405.6714,116183.865,2420.27002
173.3224437,606406.172,116183.4171,2420.790039
173.9942361,606406.6727,116182.9691,2421.120117
174.6660285,606407.1733,116182.5212,2421.280029
175.3378209,606407.674,116182.0732,2421.780029
176.0096134,606408.1746,116181.6253,2422.219971
176.6814058,606408.6753,116181.1774,2422.600098
177.3531982,606409.1759,116180.7294,2422.969971
178.0249906,606409.6766,116180.2815,2423.350098
178.696783,606410.1772,116179.8335,2423.629883
179.3685754,606410.6779,116179.3856,2423.939941
180.0403679,606411.1785,116178.9376,2424.360107
180.7121603,606411.6792,116178.4897,2424.75
181.3839527,606412.1798,116178.0417,2424.840088
182.0557451,606412.6805,116177.5938,2425.120117
182.7275375,606413.1811,116177.1458,2425.47998
183.39933,606413.6818,116176.6979,2425.879883
184.0711224,606414.1824,116176.2499,2426.169922
184.7429148,606414.683,116175.802,2426.5
185.4147072,606415.1837,116175.354,2426.76001
186.0864996,606415.6843,116174.9061,2427.120117
186.758292,606416.185,116174.4581,2427.399902
187.4300845,606416.6856,116174.0102,2427.620117
188.1018769,606417.1863,116173.5622,2427.929932
188.7736693,606417.6869,116173.1143,2428.25
189.4454617,606418.1876,116172.6664,2428.580078
190.1172541,606418.6882,116172.2184,2428.840088
190.7890465,606419.1889,116171.7705,2429.120117
191.460839,606419.6895,116171.3225,2429.379883
192.1326314,606420.1902,116170.8746,2429.75
192.8044238,606420.6908,116170.4266,2430.100098
193.4762162,606421.1915,116169.9787,2430.399902
194.1480086,606421.6921,116169.5307,2430.5
194.819801,606422.1928,116169.0828,2430.870117
195.4915935,606422.6934,116168.6348,2431.23999
196.1633859,606423.1941,116168.1869,2431.530029
196.8351783,606423.6947,116167.7389,2431.879883
197.5069707,606424.1954,116167.291,2432.189941
198.1787631,606424.696,116166.843,2432.419922
198.8505556,606425.1967,116166.3951,2432.830078
199.522348,606425.6973,116165.9471,2433.300049
200.1941404,606426.1979,116165.4992,2433.709961
200.8659328,606426.6986,116165.0512,2433.860107
201.5377252,606427.1992,116164.6033,2434.149902
202.2095176,606427.6999,116164.1554,2434.469971
202.8813101,606428.2005,116163.7074,2434.810059
203.5531025,606428.7012,116163.2595,2435.169922
204.2248949,606429.2018,116162.8115,2435.51001
204.8966873,606429.7025,116162.3636,2435.909912
205.5684797,606430.2031,116161.9156,2436.209961
206.2402721,606430.7038,116161.4677,2436.48999
206.9120646,606431.2044,116161.0197,2436.52002
207.583857,606431.7051,116160.5718,2436.850098
208.2556494,606432.2057,116160.1238,2437.25
208.9274418,606432.7064,116159.6759,2437.600098
209.5992342,606433.207,116159.2279,2437.899902
210.2710267,606433.7077,116158.78,2438.189941
210.9428191,606434.2083,116158.332,2438.620117
211.6146115,606434.709,116157.8841,2438.919922
212.2864039,606435.2096,116157.4361,2439.310059
212.9581963,606435.7103,116156.9882,2439.689941
213.6299887,606436.2109,116156.5402,2439.830078
214.3017812,606436.7116,116156.0923,2440.25
214.9735736,606437.2122,116155.6444,2440.669922
215.645366,606437.7128,116155.1964,2441.149902
216.3171584,606438.2135,116154.7485,2441.47998
216.9889508,606438.7141,116154.3005,2441.840088
217.6607432,606439.2148,116153.8526,2442.25
218.3325357,606439.7154,116153.4046,2442.600098
219.0043281,606440.2161,116152.9567,2443
219.6761205,606440.7167,116152.5087,2443.02002
220.3479129,606441.2174,116152.0608,2443.399902
221.0197053,606441.718,116151.6128,2443.709961
221.6914977,606442.2187,116151.1649,2444.050049
222.3632902,606442.7193,116150.7169,2444.340088
223.0350826,606443.22,116150.269,2444.679932
223.706875,606443.7206,116149.821,2445
224.3786674,606444.2213,116149.3731,2445.419922
225.0504598,606444.7219,116148.9251,2445.639893
225.7222523,606445.2226,116148.4772,2445.870117
226.3940447,606445.7232,116148.0292,2445.870117
227.0658371,606446.2239,116147.5813,2446.169922
227.7376295,606446.7245,116147.1334,2446.459961
228.4094219,606447.2252,116146.6854,2446.76001
229.0812143,606447.7258,116146.2375,2446.98999
229.7530068,606448.2264,116145.7895,2447.280029
230.4247992,606448.7271,116145.3416,2447.419922
231.0965916,606449.2277,116144.8936,2447.610107
231.768384,606449.7284,116144.4457,2447.969971
232.4401764,606450.229,116143.9977,2448.080078
233.1119688,606450.7297,116143.5498,2448.070068
233.7837613,606451.2303,116143.1018,2448.310059
234.4555537,606451.731,116142.6539,2448.620117
235.1273461,606452.2316,116142.2059,2448.899902
235.7991385,606452.7323,116141.758,2449.179932
236.4709309,606453.2329,116141.31,2449.409912
237.1427233,606453.7336,116140.8621,2449.659912
237.8145158,606454.2342,116140.4141,2449.879883
238.4863082,606454.7349,116139.9662,2450.090088
239.1581006,606455.2355,116139.5182,2450.030029
239.829893,606455.7362,116139.0703,2450.179932
240.5016854,606456.2368,116138.6224,2450.300049
241.1734779,606456.7375,116138.1744,2450.419922
241.8452703,606457.2381,116137.7265,2450.52002
242.5170627,606457.7388,116137.2785,2450.540039
243.1888551,606458.2394,116136.8306,2450.459961
243.8606475,606458.7401,116136.3826,2450.350098
244.5324399,606459.2407,116135.9347,2450.310059
245.2042324,606459.7413,116135.4867,2450
245.8760248,606460.242,116135.0388,2449.820068
246.5478172,606460.7426,116134.5908,2449.699951
247.2196096,606461.2433,116134.1429,2449.590088
247.891402,606461.7439,116133.6949,2449.409912
248.5631944,606462.2446,116133.247,2449.300049
249.2349869,606462.7452,116132.799,2449.25
249.9067793,606463.2459,116132.3511,2449.209961
250.5785717,606463.7465,116131.9031,2449.149902
251.2503641,606464.2472,116131.4552,2449.129883
251.9221565,606464.7478,116131.0072,2449.139893
252.5939489,606465.2485,116130.5593,2449.189941
253.2657414,606465.7491,116130.1114,2449.189941
253.9375338,606466.2498,116129.6634,2449.23999
254.6093262,606466.7504,116129.2155,2449.300049
255.2811186,606467.2511,116128.7675,2449.330078
255.952911,606467.7517,116128.3196,2449.320068
256.6247035,606468.2524,116127.8716,2449.409912
257.2964959,606468.753,116127.4237,2449.429932
257.9682883,606469.2537,116126.9757,2449.47998
258.6400807,606469.7543,116126.5278,2449.560059
259.3118731,606470.255,116126.0798,2449.629883
259.9836655,606470.7556,116125.6319,2449.689941
260.655458,606471.2562,116125.1839,2449.72998
261.3272504,606471.7569,116124.736,2449.76001
261.9990428,606472.2575,116124.288,2449.840088
262.6708352,606472.7582,116123.8401,2449.929932
263.3426276,606473.2588,116123.3921,2450.01001
264.01442,606473.7595,116122.9442,2450.179932
264.6862125,606474.2601,116122.4962,2450.379883
265.3580049,606474.7608,116122.0483,2450.47998
266.0297973,606475.2614,116121.6004,2450.639893
266.7015897,606475.7621,116121.1524,2450.77002
267.3733821,606476.2627,116120.7045,2450.959961
268.0451745,606476.7634,116120.2565,2451.100098
268.716967,606477.264,116119.8086,2451.219971
269.3887594,606477.7647,116119.3606,2451.48999
270.0605518,606478.2653,116118.9127,2451.689941
270.7323442,606478.766,116118.4647,2451.860107
271.4041366,606479.2666,116118.0168,2451.899902
272.0759291,606479.7673,116117.5688,2452.080078
272.7477215,606480.2679,116117.1209,2452.22998
273.4195139,606480.7686,116116.6729,2452.350098
274.0913063,606481.2692,116116.225,2452.449951
274.7630987,606481.7699,116115.777,2452.570068
275.4348911,606482.2705,116115.3291,2452.669922
276.1066836,606482.7711,116114.8811,2452.830078
276.778476,606483.2718,116114.4332,2452.939941
277.4502684,606483.7724,116113.9852,2453.090088
278.1220608,606484.2731,116113.5373,2453.159912
278.7938532,606484.7737,116113.0894,2453.370117
279.4656456,606485.2744,116112.6414,2453.550049
280.1374381,606485.775,116112.1935,2453.689941
280.8092305,606486.2757,116111.7455,2453.889893
281.4810229,606486.7763,116111.2976,2454.060059
282.1528153,606487.277,116110.8496,2454.310059
282.8246077,606487.7776,116110.4017,2454.580078
283.4964001,606488.2783,116109.9537,2454.959961
284.1681926,606488.7789,116109.5058,2455.199951
284.839985,606489.2796,116109.0578,2455.360107
285.5117774,606489.7802,116108.6099,2455.530029
286.1835698,606490.2809,116108.1619,2455.669922
286.8553622,606490.7815,116107.714,2455.850098
287.5271547,606491.2822,116107.266,2456.070068
288.1989471,606491.7828,116106.8181,2456.27002
288.8707395,606492.2835,116106.3701,2456.419922
289.5425319,606492.7841,116105.9222,2456.590088
290.2143243,606493.2847,116105.4742,2456.840088
290.8861167,606493.7854,116105.0263,2456.929932
291.5579092,606494.286,116104.5784,2457.060059
292.2297016,606494.7867,116104.1304,2457.189941
292.901494,606495.2873,116103.6825,2457.310059
293.5732864,606495.788,116103.2345,2457.5
294.2450788,606496.2886,116102.7866,2457.590088
294.9168712,606496.7893,116102.3386,2457.72998
295.5886637,606497.2899,116101.8907,2457.830078
296.2604561,606497.7906,116101.4427,2458.02002
296.9322485,606498.2912,116100.9948,2458.080078
297.6040409,606498.7919,116100.5468,2458.159912
298.2758333,606499.2925,116100.0989,2458.290039
298.9476257,606499.7932,116099.6509,2458.320068
299.6194182,606500.2938,116099.203,2458.379883
300.2912106,606500.7945,116098.755,2458.5
300.963003,606501.2951,116098.3071,2458.540039
301.6347954,606501.7958,116097.8591,2458.649902
302.3065878,606502.2964,116097.4112,2458.699951
302.9783803,606502.7971,116096.9632,2458.709961
303.6501727,606503.2977,116096.5153,2458.77002
304.3219651,606503.7984,116096.0674,2458.840088
304.9937575,606504.299,116095.6194,2458.939941
305.6655499,606504.7996,116095.1715,2458.969971
306.3373423,606505.3003,116094.7235,2459.030029
307.0091348,606505.8009,116094.2756,2459.120117
307.6809272,606506.3016,116093.8276,2459.199951
308.3527196,606506.8022,116093.3797,2459.27002
309.024512,606507.3029,116092.9317,2459.350098
309.6963044,606507.8035,116092.4838,2459.389893
310.3680968,606508.3042,116092.0358,2459.439941
311.0398893,606508.8048,116091.5879,2459.47998
311.7116817,606509.3055,116091.1399,2459.530029
312.3834741,606509.8061,116090.692,2459.610107
313.0552665,606510.3068,116090.244,2459.669922
313.7270589,606510.8074,116089.7961,2459.709961
314.3988513,606511.3081,116089.3481,2459.790039
315.0706438,606511.8087,116088.9002,2459.830078
315.7424362,606512.3094,116088.4522,2459.840088
316.4142286,606512.81,116088.0043,2459.909912
317.086021,606513.3107,116087.5564,2459.919922
317.7578134,606513.8113,116087.1084,2459.939941
318.4296059,606514.312,116086.6605,2460.02002
319.1013983,606514.8126,116086.2125,2460.050049
319.7731907,606515.3133,116085.7646,2460.080078
320.4449831,606515.8139,116085.3166,2460.080078
321.1167755,606516.3145,116084.8687,2460.149902
321.7885679,606516.8152,116084.4207,2460.169922
322.4603604,606517.3158,116083.9728,2460.179932
323.1321528,606517.8165,116083.5248,2460.219971
323.8039452,606518.3171,116083.0769,2460.26001
324.4757376,606518.8178,116082.6289,2460.27002
325.14753,606519.3184,116082.181,2460.290039
325.8193224,606519.8191,116081.733,2460.26001
326.4911149,606520.3197,116081.2851,2460.290039
327.1629073,606520.8204,116080.8371,2460.25
327.8346997,606521.321,116080.3892,2460.26001
328.5064921,606521.8217,116079.9412,2460.27002
329.1782845,606522.3223,116079.4933,2460.310059
329.8500769,606522.823,116079.0454,2460.340088
330.5218694,606523.3236,116078.5974,2460.370117
331.1936618,606523.8243,116078.1495,2460.370117
331.8654542,606524.3249,116077.7015,2460.340088
332.5372466,606524.8256,116077.2536,2460.330078
333.209039,606525.3262,116076.8056,2460.199951
333.8808315,606525.8269,116076.3577,2460.149902
334.5526239,606526.3275,116075.9097,2460.169922
335.2244163,606526.8282,116075.4618,2460.360107
335.8962087,606527.3288,116075.0138,2460.530029
336.5680011,606527.8294,116074.5659,2460.600098
337.2397935,606528.3301,116074.1179,2460.73999
337.911586,606528.8307,116073.67,2460.830078
338.5833784,606529.3314,116073.222,2460.860107
339.2551708,606529.832,116072.7741,2460.870117
339.9269632,606530.3327,116072.3261,2460.889893
340.5987556,606530.8333,116071.8782,2460.909912
341.270548,606531.334,116071.4302,2461.02002
341.9423405,606531.8346,116070.9823,2461.139893
342.6141329,606532.3353,116070.5344,2461.23999
343.2859253,606532.8359,116070.0864,2461.330078
343.9577177,606533.3366,116069.6385,2461.360107
344.6295101,606533.8372,116069.1905,2461.379883
345.3013025,606534.3379,116068.7426,2461.5
345.973095,606534.8385,116068.2946,2461.580078
346.6448874,606535.3392,116067.8467,2461.639893
347.3166798,606535.8398,116067.3987,2461.689941
347.9884722,606536.3405,116066.9508,2461.73999
348.6602646,606536.8411,116066.5028,2461.840088
349.3320571,606537.3418,116066.0549,2461.889893
350.0038495,606537.8424,116065.6069,2461.909912
350.6756419,606538.3431,116065.159,2461.899902
351.3474343,606538.8437,116064.711,2461.899902
352.0192267,606539.3443,116064.2631,2461.939941
352.6910191,606539.845,116063.8151,2461.97998
353.3628116,606540.3456,116063.3672,2462.070068
354.034604,606540.8463,116062.9192,2462.110107
354.7063964,606541.3469,116062.4713,2462.219971
355.3781888,606541.8476,116062.0234,2462.300049
356.0499812,606542.3482,116061.5754,2462.399902
356.7217736,606542.8489,116061.1275,2462.449951
357.3935661,606543.3495,116060.6795,2462.48999
358.0653585,606543.8502,116060.2316,2462.590088
358.7371509,606544.3508,116059.7836,2462.659912
359.4089433,606544.8515,116059.3357,2462.689941
360.0807357,606545.3521,116058.8877,2462.620117
360.7525282,606545.8528,116058.4398,2462.51001
361.4243206,606546.3534,116057.9918,2462.379883
362.096113,606546.8541,116057.5439,2462.48999
362.7679054,606547.3547,116057.0959,2462.75
363.4396978,606547.8554,116056.648,2463.189941
364.1114902,606548.356,116056.2,2463.419922
364.7832827,606548.8567,116055.7521,2463.620117
365.4550751,606549.3573,116055.3041,2463.719971
366.1268675,606549.8579,116054.8562,2463.780029
366.7986599,606550.3586,116054.4082,2463.72998
367.4704523,606550.8592,116053.9603,2463.590088
368.1422447,606551.3599,116053.5124,2463.620117
368.8140372,606551.8605,116053.0644,2463.639893
369.4858296,606552.3612,116052.6165,2463.719971
370.157622,606552.8618,116052.1685,2463.840088
370.8294144,606553.3625,116051.7206,2464.129883
371.5012068,606553.8631,116051.2726,2464.350098
372.1729992,606554.3638,116050.8247,2464.360107
372.8447917,606554.8644,116050.3767,2464.409912
373.5165841,606555.3651,116049.9288,2464.48999
374.1883765,606555.8657,116049.4808,2464.51001
374.8601689,606556.3664,116049.0329,2464.560059
375.5319613,606556.867,116048.5849,2464.600098
376.2037538,606557.3677,116048.137,2464.689941
376.8755462,606557.8683,116047.689,2464.840088
377.5473386,606558.369,116047.2411,2464.959961
378.219131,606558.8696,116046.7931,2465.090088
378.8909234,606559.3703,116046.3452,2465.22998
379.5627158,606559.8709,116045.8972,2465.360107
380.2345083,606560.3716,116045.4493,2465.51001
380.9063007,606560.8722,116045.0014,2465.600098
381.5780931,606561.3728,116044.5534,2465.689941
382.2498855,606561.8735,116044.1055,2465.810059
382.9216779,606562.3741,116043.6575,2465.870117
383.5934703,606562.8748,116043.2096,2465.949951
384.2652628,606563.3754,116042.7616,2466.040039
384.9370552,606563.8761,116042.3137,2466.100098
385.6088476,606564.3767,116041.8657,2466.22998
386.28064,606564.8774,116041.4178,2466.330078
386.9524324,606565.378,116040.9698,2466.389893
387.6242248,606565.8787,116040.5219,2466.449951
388.2960173,606566.3793,116040.0739,2466.600098
388.9678097,606566.88,116039.626,2466.659912
389.6396021,606567.3806,116039.178,2466.709961
390.3113945,606567.8813,116038.7301,2466.830078
390.9831869,606568.3819,116038.2821,2466.959961
391.6549794,606568.8826,116037.8342,2467.090088
392.3267718,606569.3832,116037.3862,2467.219971
392.9985642,606569.8839,116036.9383,2467.370117
393.6703566,606570.3845,116036.4904,2467.459961
394.342149,606570.8852,116036.0424,2467.550049
395.0139414,606571.3858,116035.5945,2467.659912
395.6857339,606571.8865,116035.1465,2467.780029
